chgg,sbux,bud,nflx,tgt,uvxy
32.380001,53.529999,91.959999,363.600006,88.949997,42.450001
27.68,55.889999,87.059998,363.649994,84.839996,39.040001
26.639999,64.480003,75.970001,315.440002,85.349998,57.150002
28.82,67.5,75.879997,290.299988,72.339996,47.799999
28.49,64.32,65.910004,267.660004,66.440002,77.919998
35.400002,68.110001,76.839996,339.850006,71.169998,52.029999
40.419998,70.849998,81.959999,357.320007,72.940002,40.880001
37.75,73.959999,83.639999,366.959991,79.970001,37.849998
34.740002,77.519997,87.809998,378.809998,75.669998,33.59
35.950001,76.220001,82.279999,336.630005,82.949997,40.560001
39.400002,84.550003,88.43,374.600006,86.940002,28.91
45.029999,95.379997,100.459999,319.5,82.620003,30.120001
